"","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"169",0.05,0.1,0.1,0.45,0.5,1,1,1,1,1
"170",0.05,0.1,0.1,0.45,0.55,1,1,1,1,1
"171",0.05,0.1,0.1,0.45,0.6,1,1,1,1,1
"172",0.05,0.1,0.1,0.55,0.5,1,1,1,1,1
"173",0.05,0.1,0.1,0.55,0.55,1,1,1,1,1
"174",0.05,0.1,0.1,0.55,0.6,1,1,1,1,1
"175",0.05,0.1,0.15,0.4,0.5,1,1,1,1,1
"176",0.05,0.1,0.15,0.4,0.55,1,1,1,1,1
"177",0.05,0.1,0.15,0.4,0.6,1,1,1,1,1
"178",0.05,0.1,0.15,0.45,0.5,1,1,1,1,1
"179",0.05,0.1,0.15,0.45,0.55,1,1,1,1,1
"180",0.05,0.1,0.15,0.45,0.6,1,1,1,1,1
"181",0.05,0.1,0.15,0.55,0.5,1,1,1,1,1
"182",0.05,0.1,0.15,0.55,0.55,1,1,1,1,1
"183",0.05,0.1,0.15,0.55,0.6,1,1,1,1,1
"184",0.05,0.1,0.2,0.4,0.5,1,1,1,1,1
"185",0.05,0.1,0.2,0.4,0.55,1,1,1,1,1
"186",0.05,0.1,0.2,0.4,0.6,1,1,1,1,1
"187",0.05,0.1,0.2,0.45,0.5,1,1,1,1,1
"188",0.05,0.1,0.2,0.45,0.55,1,1,1,1,1
"189",0.05,0.1,0.2,0.45,0.6,1,1,1,1,1
"190",0.05,0.1,0.2,0.55,0.5,1,1,1,1,1
"191",0.05,0.1,0.2,0.55,0.55,1,1,1,1,1
"192",0.05,0.1,0.2,0.55,0.6,1,1,1,1,1
"193",0.05,0.15,0.1,0.4,0.5,1,1,1,1,1
"194",0.05,0.15,0.1,0.4,0.55,1,1,1,1,1
"195",0.05,0.15,0.1,0.4,0.6,1,1,1,1,1
"196",0.05,0.15,0.1,0.45,0.5,1,1,1,1,1
"197",0.05,0.15,0.1,0.45,0.55,1,1,1,1,1
"198",0.05,0.15,0.1,0.45,0.6,1,1,1,1,1
"199",0.05,0.15,0.1,0.55,0.5,1,1,1,1,1
"200",0.05,0.15,0.1,0.55,0.55,1,1,1,1,1
"201",0.05,0.15,0.1,0.55,0.6,1,1,1,1,1
"202",0.05,0.15,0.15,0.4,0.5,1,1,1,1,1
"203",0.05,0.15,0.15,0.4,0.55,1,1,1,1,1
"204",0.05,0.15,0.15,0.4,0.6,1,1,1,1,1
"205",0.05,0.15,0.15,0.45,0.5,1,1,1,1,1
"206",0.05,0.15,0.15,0.45,0.55,1,1,1,1,1
"207",0.05,0.15,0.15,0.45,0.6,1,1,1,1,1
"208",0.05,0.15,0.15,0.55,0.5,1,1,1,1,1
"209",0.05,0.15,0.15,0.55,0.55,1,1,1,1,1
"210",0.05,0.15,0.15,0.55,0.6,1,1,1,1,1
"211",0.05,0.15,0.2,0.4,0.5,1,1,1,1,1
"212",0.05,0.15,0.2,0.4,0.55,1,1,1,1,1
"213",0.05,0.15,0.2,0.4,0.6,1,1,1,1,1
"214",0.05,0.15,0.2,0.45,0.5,1,1,1,1,1
"215",0.05,0.15,0.2,0.45,0.55,1,1,1,1,1
"216",0.05,0.15,0.2,0.45,0.6,1,1,1,1,1
"217",0.05,0.15,0.2,0.55,0.5,1,1,1,1,1
"218",0.05,0.15,0.2,0.55,0.55,1,1,1,1,1
"219",0.05,0.15,0.2,0.55,0.6,1,1,1,1,1
"220",0.1,0.05,0.1,0.4,0.5,1,1,1,1,1
"221",0.1,0.05,0.1,0.4,0.55,1,1,1,1,1
"222",0.1,0.05,0.1,0.4,0.6,1,1,1,1,1
"223",0.1,0.05,0.1,0.45,0.5,1,1,1,1,1
"224",0.1,0.05,0.1,0.45,0.55,1,1,1,1,1
"225",0.1,0.05,0.1,0.45,0.6,1,1,1,1,1
"226",0.1,0.05,0.1,0.55,0.5,1,1,1,1,1
"227",0.1,0.05,0.1,0.55,0.55,1,1,1,1,1
"228",0.1,0.05,0.1,0.55,0.6,1,1,1,1,1
"229",0.1,0.05,0.15,0.4,0.5,1,1,1,1,1
"230",0.1,0.05,0.15,0.4,0.55,1,1,1,1,1
"231",0.1,0.05,0.15,0.4,0.6,1,1,1,1,1
"232",0.1,0.05,0.15,0.45,0.5,1,1,1,1,1
"233",0.1,0.05,0.15,0.45,0.55,1,1,1,1,1
"234",0.1,0.05,0.15,0.45,0.6,1,1,1,1,1
"235",0.1,0.05,0.15,0.55,0.5,1,1,1,1,1
"236",0.1,0.05,0.15,0.55,0.55,1,1,1,1,1
"237",0.1,0.05,0.15,0.55,0.6,1,1,1,1,1
"238",0.1,0.05,0.2,0.4,0.5,1,1,1,1,1
"239",0.1,0.05,0.2,0.4,0.55,1,1,1,1,1
"240",0.1,0.05,0.2,0.4,0.6,1,1,1,1,1
"241",0.1,0.05,0.2,0.45,0.5,1,1,1,1,1
"242",0.1,0.05,0.2,0.45,0.55,1,1,1,1,1
"243",0.1,0.05,0.2,0.45,0.6,1,1,1,1,1
"244",0.1,0.05,0.2,0.55,0.5,1,1,1,1,1
"245",0.1,0.05,0.2,0.55,0.55,1,1,1,1,1
"246",0.1,0.05,0.2,0.55,0.6,1,1,1,1,1
"247",0.1,0.1,0.1,0.4,0.5,1,1,1,1,1
"248",0.1,0.1,0.1,0.4,0.55,1,1,1,1,1
"249",0.1,0.1,0.1,0.4,0.6,1,1,1,1,1
"250",0.1,0.1,0.1,0.45,0.5,1,1,1,1,1
"251",0.1,0.1,0.1,0.45,0.55,1,1,1,1,1
"252",0.1,0.1,0.1,0.45,0.6,1,1,1,1,1
"253",0.1,0.1,0.1,0.55,0.5,1,1,1,1,1
"254",0.1,0.1,0.1,0.55,0.55,1,1,1,1,1
"255",0.1,0.1,0.1,0.55,0.6,1,1,1,1,1
"256",0.1,0.1,0.15,0.4,0.5,1,1,1,1,1
"257",0.1,0.1,0.15,0.4,0.55,1,1,1,1,1
"258",0.1,0.1,0.15,0.4,0.6,1,1,1,1,1
"259",0.1,0.1,0.15,0.45,0.5,1,1,1,1,1
"260",0.1,0.1,0.15,0.45,0.55,1,1,1,1,1
"261",0.1,0.1,0.15,0.45,0.6,1,1,1,1,1
"262",0.1,0.1,0.15,0.55,0.5,1,1,1,1,1
"263",0.1,0.1,0.15,0.55,0.55,1,1,1,1,1
"264",0.1,0.1,0.15,0.55,0.6,1,1,1,1,1
"265",0.1,0.1,0.2,0.4,0.5,1,1,1,1,1
"266",0.1,0.1,0.2,0.4,0.55,1,1,1,1,1
"267",0.1,0.1,0.2,0.4,0.6,1,1,1,1,1
"268",0.1,0.1,0.2,0.45,0.5,1,1,1,1,1
"269",0.1,0.1,0.2,0.45,0.55,1,1,1,1,1
"270",0.1,0.1,0.2,0.45,0.6,1,1,1,1,1
"271",0.1,0.1,0.2,0.55,0.5,1,1,1,1,1
"272",0.1,0.1,0.2,0.55,0.55,1,1,1,1,1
"273",0.1,0.1,0.2,0.55,0.6,1,1,1,1,1
"274",0.1,0.15,0.1,0.4,0.5,1,1,1,1,1
"275",0.1,0.15,0.1,0.4,0.55,1,1,1,1,1
"276",0.1,0.15,0.1,0.4,0.6,1,1,1,1,1
"277",0.1,0.15,0.1,0.45,0.5,1,1,1,1,1
"278",0.1,0.15,0.1,0.45,0.55,1,1,1,1,1
"279",0.1,0.15,0.1,0.45,0.6,1,1,1,1,1
"280",0.1,0.15,0.1,0.55,0.5,1,1,1,1,1
"281",0.1,0.15,0.1,0.55,0.55,1,1,1,1,1
"282",0.1,0.15,0.1,0.55,0.6,1,1,1,1,1
"283",0.1,0.15,0.15,0.4,0.5,1,1,1,1,1
"284",0.1,0.15,0.15,0.4,0.55,1,1,1,1,1
"285",0.1,0.15,0.15,0.4,0.6,1,1,1,1,1
"286",0.1,0.15,0.15,0.45,0.5,1,1,1,1,1
"287",0.1,0.15,0.15,0.45,0.55,1,1,1,1,1
"288",0.1,0.15,0.15,0.45,0.6,1,1,1,1,1
"289",0.1,0.15,0.15,0.55,0.5,1,1,1,1,1
"290",0.1,0.15,0.15,0.55,0.55,1,1,1,1,1
"291",0.1,0.15,0.15,0.55,0.6,1,1,1,1,1
"292",0.1,0.15,0.2,0.4,0.5,1,1,1,1,1
"293",0.1,0.15,0.2,0.4,0.55,1,1,1,1,1
"294",0.1,0.15,0.2,0.4,0.6,1,1,1,1,1
"295",0.1,0.15,0.2,0.45,0.5,1,1,1,1,1
"296",0.1,0.15,0.2,0.45,0.55,1,1,1,1,1
"297",0.1,0.15,0.2,0.45,0.6,1,1,1,1,1
"298",0.1,0.15,0.2,0.55,0.5,1,1,1,1,1
"299",0.1,0.15,0.2,0.55,0.55,1,1,1,1,1
"300",0.1,0.15,0.2,0.55,0.6,1,1,1,1,1
"301",0.1,0.15,0.25,0.5,1,1,1,1,1,1
"302",0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.9,0.1,0.9
"303",0.143,0.721,0.68,1,1,1,1,1,1,1
"304",0.15,0.15,0.15,0.15,1,1,1,1,1,1
"305",0.15,0.15,0.35,0.55,1,1,1,1,1,1
"306",0.3,0.05,0.1,0.4,0.5,1,1,1,1,1
"307",0.3,0.1,0.2,0.3,0.4,0.5,1,1,1,1
"308",0.3,0.3,0.3,0.3,1,1,1,1,1,1
"309",0.4,0.05,0.4,0.5,1,1,1,1,1,1
