"","run","added_ref","min_length","min_logw","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"41",91,"5 cm","19 cm",2.2,28.9056921996015,10.4844684803951,11.0889603734336,0.0622491951697961,11.1512095686034,39.3901606799966
"42",92,"10 cm","19 cm",2.2,28.866682312894,12.0970637369512,14.6500680643773,0.747432367931187,15.3975004323085,40.9637460498452
"43",93,"15 cm","19 cm",2.2,28.3979357494234,8.79502764425958,16.3576187925543,1.10306930255525,17.4606880951096,37.192963393683
"44",94,"20 cm","19 cm",2.2,27.0810900887218,6.75857496394876,16.2855901313119,0.5348799466423,16.8204700779542,33.8396650526706
"45",95,"25 cm","19 cm",2.2,25.4265423897376,6.56012240527924,15.0208835827992,0.287063629394501,15.3079472121937,31.9866647950169
"46",96,"30 cm","19 cm",2.2,25.8808680023063,6.44854080516456,14.6371409669247,0.242494855345459,14.8796358222702,32.3294088074709
"47",97,"35 cm","19 cm",2.2,24.9465173756058,6.5763160967677,14.1682126431467,0.23239423837128,14.400606881518,31.5228334723734
"48",98,"40 cm","19 cm",2.2,24.6288476167808,6.63861183348951,13.7258386127308,0.233074536606174,13.958913149337,31.2674594502703
"49",99,"45 cm","19 cm",2.2,24.2726569491902,6.70562180881046,13.9571982337291,0.248873935536168,14.2060721692653,30.9782787580007
"50",100,"50 cm","19 cm",2.2,24.4414089122047,6.75306987682834,12.8529097277818,0.230418452029222,13.0833281798111,31.1944787890331
"51",91,"5 cm","20 cm",2.3,28.9056921996015,10.4844684803951,11.1932689804426,0.0442155687630454,11.2374845492057,39.3901606799966
"52",92,"10 cm","20 cm",2.3,28.866682312894,12.0970637369512,14.5066339157262,0.580679181366957,15.0873130970932,40.9637460498452
"53",93,"15 cm","20 cm",2.3,28.3979357494234,8.79502764425958,16.2384951953018,0.870801078831801,17.1092962741336,37.192963393683
"54",94,"20 cm","20 cm",2.3,27.0810900887218,6.75857496394876,16.9573859167257,0.470717810304753,17.4281037270305,33.8396650526706
"55",95,"25 cm","20 cm",2.3,25.4265423897376,6.56012240527924,16.0002146256256,0.2556074138576,16.2558220394832,31.9866647950169
"56",96,"30 cm","20 cm",2.3,25.8808680023063,6.44854080516456,15.7350383542373,0.214920945923098,15.9499593001604,32.3294088074709
"57",97,"35 cm","20 cm",2.3,24.9465173756058,6.5763160967677,15.0821008174084,0.192964658941657,15.27506547635,31.5228334723734
"58",98,"40 cm","20 cm",2.3,24.6288476167808,6.63861183348951,14.541350651062,0.189689963051811,14.7310406141138,31.2674594502703
"59",99,"45 cm","20 cm",2.3,24.2726569491902,6.70562180881046,14.6398991160506,0.200345698125329,14.8402448141759,30.9782787580007
"60",100,"50 cm","20 cm",2.3,24.4414089122047,6.75306987682834,13.2317893257914,0.180714868644597,13.412504194436,31.1944787890331
"61",91,"5 cm","22 cm",2.4,28.9056921996015,10.4844684803951,10.5466955462865,0.0371519617592943,10.5838475080458,39.3901606799966
"62",92,"10 cm","22 cm",2.4,28.866682312894,12.0970637369512,13.5823818345404,0.504433838586208,14.0868156731266,40.9637460498452
"63",93,"15 cm","22 cm",2.4,28.3979357494234,8.79502764425958,15.2191423009123,0.760450085226528,15.9795923861389,37.192963393683
"64",94,"20 cm","22 cm",2.4,27.0810900887218,6.75857496394876,15.9865648975212,0.409086864511181,16.3956517620324,33.8396650526706
"65",95,"25 cm","22 cm",2.4,25.4265423897376,6.56012240527924,15.3979592130495,0.236436196337667,15.6343954093872,31.9866647950169
"66",96,"30 cm","22 cm",2.4,25.8808680023063,6.44854080516456,15.1591284969161,0.197741840936649,15.3568703378528,32.3294088074709
"67",97,"35 cm","22 cm",2.4,24.9465173756058,6.5763160967677,14.427816198303,0.171893533528707,14.5997097318317,31.5228334723734
"68",98,"40 cm","22 cm",2.4,24.6288476167808,6.63861183348951,13.8702519774928,0.167257829211833,14.0375098067046,31.2674594502703
"69",99,"45 cm","22 cm",2.4,24.2726569491902,6.70562180881046,13.9362782096756,0.175879194141223,14.1121574038168,30.9782787580007
"70",100,"50 cm","22 cm",2.4,24.4414089122047,6.75306987682834,12.5554367819426,0.157130649544859,12.7125674314874,31.1944787890331
"71",91,"5 cm","25 cm",2.6,28.9056921996015,10.4844684803951,9.24225240361359,0.0266605354199386,9.26891293903353,39.3901606799966
"72",92,"10 cm","25 cm",2.6,28.866682312894,12.0970637369512,11.7510313182153,0.384622204591365,12.1356535228066,40.9637460498452
"73",93,"15 cm","25 cm",2.6,28.3979357494234,8.79502764425958,13.1673786706401,0.585421096692814,13.7527997673329,37.192963393683
"74",94,"20 cm","25 cm",2.6,27.0810900887218,6.75857496394876,13.9788203422493,0.312136487444283,14.2909568296936,33.8396650526706
"75",95,"25 cm","25 cm",2.6,25.4265423897376,6.56012240527924,13.7371514280128,0.187362187993195,13.924513616006,31.9866647950169
"76",96,"30 cm","25 cm",2.6,25.8808680023063,6.44854080516456,13.9470338730733,0.170831895791991,14.1178657688653,32.3294088074709
"77",97,"35 cm","25 cm",2.6,24.9465173756058,6.5763160967677,13.0302143296851,0.138306419701581,13.1685207493867,31.5228334723734
"78",98,"40 cm","25 cm",2.6,24.6288476167808,6.63861183348951,12.4314774629572,0.13132536638966,12.5628028293468,31.2674594502703
"79",99,"45 cm","25 cm",2.6,24.2726569491902,6.70562180881046,12.418358503123,0.136284008220066,12.5546425113431,30.9782787580007
"80",100,"50 cm","25 cm",2.6,24.4414089122047,6.75306987682834,11.1068691730244,0.11952829167373,11.2263974646981,31.1944787890331
