"","Site","method","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10"
"41","Selayar_Benteng_Sedimented1","mean",99.476430823621,88.667172044262,91.5800358439714,89.7517297684299,92.1048133748221,86.8705346955262,81.2888986984021,99.5731516975801,0,50
"42","Selayar_Benteng_Sedimented1","median",100,97.9989516022867,94.5531048869448,90.8752858995586,92.4418296854398,86.8705346955262,81.2888986984021,99.5731516975801,0,50
"43","Selayar_Benteng_Sedimented1","mode",100,45.6742140368956,78.6963658609293,81.3599767893439,88.5382666446075,84.6718464939512,78.6735344020129,99.1463033951603,0,0
"44","Selayar_Benteng_Sedimented1","max",94.0685464839814,45.6742140368956,78.6963658609293,81.3599767893439,88.5382666446075,84.6718464939512,78.6735344020129,99.1463033951603,0,0
"45","Selayar_Benteng_Sedimented1","min",100,98.8884606087882,98.234566570413,95.8963704852586,95.334343794419,89.0692228971013,83.9042629947912,100,0,100
"46","Selayar_Benteng_Sedimented2","mean",100,81.1303096445639,80.3310073171382,85.4248757625513,44.1490446367629,61.6654461646928,0,0,0,40.8012354205734
"47","Selayar_Benteng_Sedimented2","median",100,92.7275259223102,83.909055931075,86.3187594401287,44.4496861093207,61.6654461646928,0,0,0,40.8012354205734
"48","Selayar_Benteng_Sedimented2","mode",100,33.8062748880128,60.8599598417615,77.3135736352885,35.7981874326278,58.8569749612396,0,0,0,0
"49","Selayar_Benteng_Sedimented2","max",100,33.8062748880128,60.8599598417615,77.3135736352885,35.7981874326278,58.8569749612396,0,0,0,0
"50","Selayar_Benteng_Sedimented2","min",100,97.221810541675,92.7004037274017,91.7484105346595,52.1992603683403,64.4739173681459,0,0,0,81.6024708411468
"51","Selayar_North1","mean",96.0276425494292,90.884017466596,87.1278768513295,96.5558841097828,63.2422295528168,54.4534910770188,88.6706317022533,0,0,50
"52","Selayar_North1","median",100,97.2390577459978,91.6665164074266,96.8559036509068,64.239750165663,54.4534910770188,88.6706317022533,0,0,50
"53","Selayar_North1","mode",100,62.009882530321,68.4789882881223,94.4830576630431,50.6931847852767,49.0810798024601,86.4852496786634,0,0,0
"54","Selayar_North1","max",73.2682097846835,62.009882530321,68.4789882881223,94.4830576630431,50.6931847852767,49.0810798024601,86.4852496786634,0,0,0
"55","Selayar_North1","min",100,97.8855011164228,96.5304815467586,98.0286714742743,74.7937537075107,59.8259023515775,90.8560137258432,0,0,100
"56","Selayar_North2","mean",100,80.9326496656036,93.0961541014559,94.0761971534822,87.5008129390669,69.2335403247645,82.4356833530585,0,0,50
"57","Selayar_North2","median",100,94.689217412792,95.2195917530808,94.7460944491213,88.0483357006644,69.2335403247645,82.4356833530585,0,0,50
"58","Selayar_North2","mode",100,26.5679013875345,83.5989228916749,88.9045219175261,82.3203243229446,64.9870842792155,79.9094618483189,0,0,0
"59","Selayar_North2","max",100,26.5679013875345,83.5989228916749,88.9045219175261,82.3203243229446,64.9870842792155,79.9094618483189,0,0,0
"60","Selayar_North2","min",100,98.4910415238261,98.1486712679182,97.9080777981602,92.1337787935916,73.4799963703136,84.9619048577981,0,0,100
"61","Selayar_North3","mean",100,86.851071710413,78.7026812664283,91.3973464090005,77.7961815136582,0,0,0,82.2520145644154,42.5373115322288
"62","Selayar_North3","median",100,96.2330067622659,83.0203023225342,92.0425890293142,78.3385844909993,0,0,0,82.2520145644154,42.5373115322288
"63","Selayar_North3","mode",100,45.8685229493341,55.6186402730059,85.7550126837441,71.7208579439907,0,0,0,82.2520145644154,85.0746230644577
"64","Selayar_North3","max",100,45.8685229493341,55.6186402730059,85.7550126837441,71.7208579439907,0,0,0,82.2520145644154,0
"65","Selayar_North3","min",100,98.0337660896335,93.280444882998,95.7491948936297,83.3291021059846,0,0,0,82.2520145644154,85.0746230644577
"66","Selayar_South_Sedimented","mean",100,86.6349072016346,90.7449897669256,92.6039030823541,86.3656505205689,85.54962757655,0,0,0,0
"67","Selayar_South_Sedimented","median",100,97.2623308242917,93.3995637526558,93.1665406115487,86.6709429864461,85.54962757655,0,0,0,0
"68","Selayar_South_Sedimented","mode",100,39.2211539756606,78.7137227312557,87.7600674184976,82.7477285210667,84.0903389924887,0,0,0,0
"69","Selayar_South_Sedimented","max",100,39.2211539756606,78.7137227312557,87.7600674184976,82.7477285210667,84.0903389924887,0,0,0,0
"70","Selayar_South_Sedimented","min",100,98.434381012554,97.2467339330747,96.3224636878212,89.6782800541938,87.0089161606112,0,0,0,0
