"","run","ambient_reef","comp_group","added_ref","based_on","end_length","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"70",70,"bare",1,70,"bare",50,24.3241533075166,6.74148464246854,20.8739784116063,1.7142688532333,22.5882472648396,31.0656379499851
"71",71,"bare",1,80,"bare",5,26.5853725768822,8.90282922701065,22.1984210200012,1.17345247745822,23.3718734974594,35.4882018038928
"72",72,"bare",1,80,"bare",10,27.5974484666553,10.3484436005119,25.5879868828711,4.43621834940037,30.0242052322715,37.9458920671672
"73",73,"bare",1,80,"bare",15,27.2657157305401,7.95438839899325,23.6971033451584,2.39900310293454,26.096106448093,35.2201041295333
"74",74,"bare",1,80,"bare",20,26.3049710881859,6.70461947212946,22.656888603034,1.64917481196331,24.3060634149974,33.0095905603153
"75",75,"bare",1,80,"bare",25,25.1028948378636,6.59829672236679,22.3668725086941,1.6310450766849,23.997917585379,31.7011915602304
"76",76,"bare",1,80,"bare",30,25.4172132400368,6.52071763168015,22.0709672283869,1.57966770891353,23.6506349373004,31.937930871717
"77",77,"bare",1,80,"bare",35,24.7357158803013,6.61479759772902,21.9380092306698,1.64762738797403,23.5856366186438,31.3505134780303
"78",78,"bare",1,80,"bare",40,24.4997999830302,6.66064982180095,21.5932450514041,1.67380992922287,23.2670549806269,31.1604498048312
"79",79,"bare",1,80,"bare",45,24.2394953577537,6.70860474954296,21.8047212526818,1.70906010573226,23.5137813584141,30.9481001072967
"80",80,"bare",1,80,"bare",50,24.3597047498807,6.74537448434513,20.6108816250448,1.71223722508739,22.3231188501322,31.1050792342259
"81",81,"bare",1,90,"bare",5,27.3884292936127,9.56678997883756,21.9891706012419,1.10845941697677,23.0976300182186,36.9552192724502
"82",82,"bare",1,90,"bare",10,28.196921113786,11.1609194263097,26.2900878774223,4.99539149890752,31.2854793763298,39.3578405400957
"83",83,"bare",1,90,"bare",15,27.8056876517644,8.3293026035466,23.9637507184093,2.58392033466125,26.5476710530706,36.134990255311
"84",84,"bare",1,90,"bare",20,26.6761708645283,6.72645542711295,22.7083399846732,1.64729214199426,24.3556321266675,33.4026262916413
"85",85,"bare",1,90,"bare",25,25.259128572184,6.57978506114551,22.3570153891569,1.61691052986017,23.9739259190171,31.8389136333295
"86",86,"bare",1,90,"bare",30,25.6387604378003,6.4862829909876,22.0207230496674,1.55606941102491,23.5767924606923,32.1250434287879
"87",87,"bare",1,90,"bare",35,24.8368010936053,6.59647276609288,21.8614455229673,1.63490050893767,23.496346031905,31.4332738596981
"88",88,"bare",1,90,"bare",40,24.5615457128183,6.65021059763985,21.4611300779269,1.66533763440479,23.1264677123317,31.2117563104582
"89",89,"bare",1,90,"bare",45,24.2554585356076,6.70721086165079,21.6993334698202,1.70661227925102,23.4059457490712,30.9626693972584
"90",90,"bare",1,90,"bare",50,24.398645321198,6.74924254232697,20.3369402754713,1.70995566672115,22.0468959421924,31.147887863525
"91",91,"bare",1,100,"bare",5,28.9056921996015,10.4844684803951,21.6575705370209,1.06548650258184,22.7230570396028,39.3901606799966
"92",92,"bare",1,100,"bare",10,28.866682312894,12.0970637369512,27.1188361023359,5.61449850791953,32.7333346102554,40.9637460498452
"93",93,"bare",1,100,"bare",15,28.3979357494234,8.79502764425958,24.2743729227091,2.8089779673519,27.083350890061,37.192963393683
"94",94,"bare",1,100,"bare",20,27.0810900887218,6.75857496394876,22.7700344150027,1.64902954254783,24.4190639575505,33.8396650526706
"95",95,"bare",1,100,"bare",25,25.4265423897376,6.56012240527924,22.3480131432421,1.60205229884829,23.9500654420904,31.9866647950169
"96",96,"bare",1,100,"bare",30,25.8808680023063,6.44854080516456,21.9708326792065,1.53074631753308,23.5015789967396,32.3294088074709
"97",97,"bare",1,100,"bare",35,24.9465173756058,6.5763160967677,21.7820385705254,1.62118196315097,23.4032205336764,31.5228334723734
"98",98,"bare",1,100,"bare",40,24.6288476167808,6.63861183348951,21.3225741384683,1.65616918582503,22.9787433242933,31.2674594502703
"99",99,"bare",1,100,"bare",45,24.2726569491902,6.70562180881046,21.5871882779605,1.70397198163268,23.2911602595932,30.9782787580007
"100",100,"bare",1,100,"bare",50,24.4414089122047,6.75306987682834,20.0514355208098,1.70739049776936,21.7588260185791,31.1944787890331
